"Date_Nominated","Name_of_Nominee","Court_to_Which_Nominated","ABA_Rating","President","Congress"
"10/7/93","Hagen, David Warner","USDC: District of Nevada","WQsm/Qmin","Clinton",103
"10/7/93","Wilken, Claudia A.","USDC: Northern District of California","WQ","Clinton",103
"10/25/93","Lancaster, Gary L.","USDC: Western District of Pennsylvania","Qsm/WQmin","Clinton",103
"10/25/93","Ambrose, Donetta W.","USDC: Western District of Pennsylvania","WQ","Clinton",103
"10/25/93","Ferguson, Wilkie D. Jr.","USDC: Southern District of Florida","Q","Clinton",103
"10/25/93","Shaw, Charles A.","USDC: Eastern District of Missouri","WQsm/Qmin","Clinton",103
"","","","","Clinton",103
"","","","WQ","Clinton",103
"10/27/93","Stearns, Richard G.","USDC: District of Massachusetts","1 abstention","Clinton",103
"","","","","Clinton",103
"","","","WQsm/Qmin","Clinton",103
"10/27/93","Lindsay, Reginald C.","USDC: District of Massachusetts","1 abstention","Clinton",103
"","","","","Clinton",103
"","","","WQ","Clinton",103
"10/27/93","Gertner, Nancy","USDC: District of Massachusetts","1 abstention","Clinton",103
"","","","","Clinton",103
"","","","Qsm/WQmin","Clinton",103
"10/27/93","Saris, Patti B.","USDC: District of Massachusetts","1 abstention","Clinton",103
"10/27/93","Barnes, Harry F.","USDC: Western District of Arkansas","WQsm/Qmin","Clinton",103
"","","","","Clinton",103
"","","","WQsm/Qmin","Clinton",103
"10/27/93","Schwartz, Allen G.","USDC: Southern District of New York","1 abstention","Clinton",103
"11/1/93","Adams, Henry Lee","USDC: Middle District of Florida","Q","Clinton",103
"11/1/93","Bucklew, Susan C.","USDC: Middle District of Florida","Qsm/WQm","Clinton",103
"11/1/93","Klein, Theodore","USDC: Southern District of Florida","WQsm/Qmin","Clinton",103
"11/10/93","Hurley, Daniel T.K.","USDC: Southern District of Florida","WQ","Clinton",103
"11/17/93","Rogers, Judith W.  (DC)","DC Circuit","WQ","Clinton",103
"11/17/93","Vanaskie, Thomas I.","USDC: Middle District of Pennsylvania","WQsm/Qmin","Clinton",103
"11/18/93","Berrigan, Ginger","USDC: Eastern District of Louisiana","WQ","Clinton",103
"11/18/93","Melancon, Tucker L.","USDC: Western District of Louisiana","Q","Clinton",103
"","","","","Clinton",103
"","","","WQ","Clinton",103
"11/19/93","Ponsor, Michael A.","USDC: District of Massachusetts","1 abstention","Clinton",103
"11/19/93","Davis, Michael J.","USDC: District of Minnesota","WQsm/Qmin","Clinton",103
"11/19/93","Wells, Lesley B.","USDC: Northern District of Ohio","Q","Clinton",103
"11/19/93","Haggerty, Ancer L.","USDC: District of Oregon","WQm/Qmin","Clinton",103
"","","","","Clinton",103
"DATE","NAME OF","COURT TO WHICH","ABA","Clinton",103
"NOMINATED","NOMINEE","NOMINATED","RATING","Clinton",103
"11/19/93","Rendell, Marjorie O.","USDC: Eastern District of Pennsylvania","Qsm/WQmin","Clinton",103
"11/19/93","Biery, Fred","USDC: Western District of Texas","WQsm/Qmin","Clinton",103
"11/19/93","Furgeson, Royal Jr.","USDC: Western District of Texas","WQ","Clinton",103
"11/19/93","Garcia, Orlando L.","USDC: Western District of Texas","Q","Clinton",103
"11/19/93","Hannah, John H.","USDC: Eastern District of Texas","Qsm/WQmin","Clinton",103
"11/19/93","Jack, Janis G.","USDC: Southern District of Texas","Q","Clinton",103
"11/19/93","Burgess, Franklin D.","USDC: Western District of Washington","Qsm/NQmin","Clinton",103
"","","","","Clinton",103
"DATE","NAME OF","COURT TO WHICH","ABA","Clinton",103
"NOMINATED","NOMINEE","NOMINATED","RATING","Clinton",103
"1/27/94","Benavides, Fortunato P. (TX)","Fifth Circuit","Qsm/WQmin","Clinton",103
"1/27/94","Parker, Robert M. (TX)","Fifth Circuit","WQsm/Qmin","Clinton",103
"1/27/94","Stewart, Carl  (LA)","Fifth Circuit","Qsm/WQmin","Clinton",103
"1/27/94","Motz, Diana  (MD)","Fourth Circuit","WQ","Clinton",103
"1/27/94","Batts, Deborah A.","USDC: Southern District of New York","Q","Clinton",103
"1/27/94","Carr, James G.","USDC: Northern District of Ohio","WQ","Clinton",103
"1/27/94","Castillo, Ruben","USDC: Northern District of Illinois","WQ","Clinton",103
"1/27/94","Collins, Audrey B.","USDC: Central District of California","Qm/NQmin","Clinton",103
"1/27/94","Currie, Cameron M.","USDC: District of South Carolina","WQ","Clinton",103
"1/27/94","Lisi, Mary M.","USDC: District of Rhode Island","Qm/NQmin","Clinton",103
"2/9/94","Calabresi, Guido (CT)","Second Circuit","WQm/Qmin","Clinton",103
"2/9/94","Henry, Robert H.  (OK)","Tenth Circuit","WQsm/Qmin","Clinton",103
"2/9/94","Hull, Frank M.","USDC: Northern District of Georgia","WQ","Clinton",103
"2/9/94","Sands, W. Louis","USDC: Middle District of Georgia","WQsm/Qmin","Clinton",103
"","","","","Clinton",103
"","","USDC: Eastern and Northern Districts of","","Clinton",103
"3/9/94","Burrage, Billy Michael","Oklahoma","WQ","Clinton",103
"3/9/94","Cooper, Clarence","USDC: Northern District of Georgia","Q","Clinton",103
"","","","","Clinton",103
"DATE","NAME OF","COURT TO WHICH","ABA","Clinton",103
"NOMINATED","NOMINEE","NOMINATED","RATING","Clinton",103
"3/9/94","Hood, Denise Page","USDC: Eastern District of Michigan","Qsm/WQmin","Clinton",103
"3/9/94","Kern, Terry C.","USDC: Northern District of Oklahoma","Qsm/WQmin","Clinton",103
"3/9/94","Oliver, Solomon","USDC: Northern District of Ohio","Qsm/WQmin","Clinton",103
"3/9/94","Paez, Richard A.","USDC: Central District of California","WQm/Qmin","Clinton",103
"3/22/94","McKee, Theodore A.  (PA)","Third Circuit","Qsm/NQmin","Clinton",103
"3/22/94","Finch, Raymond L.","USDC: District of the Virgin Islands","Qsm/WQmin","Clinton",103
"3/22/94","Friedman, Paul L.","USDC: District of the District of Columbia","WQ","Clinton",103
"3/22/94","Gilmore, Vanessa D.","USDC: Southern District of Texas","Qsm/WQmin","Clinton",103
"3/22/94","Kessler, Gladys","USDC: District of the District of Columbia","WQ","Clinton",103
"3/22/94","Sullivan, Emmet G.","USDC: District of the District of Columbia","WQ","Clinton",103
"3/22/94","Urbina, Ricardo M.","USDC: District of the District of Columbia","WQ","Clinton",103
"3/24/94","Borman, Paul D.","USDC: Eastern District of Michigan","Qsm/WQmin","Clinton",103
"3/24/94","Chin, Denny","USDC: Southern District of New York","WQsm/Qmin","Clinton",103
"3/24/94","Paz, R. Samuel","USDC: Central District of California","Qsm/WQmin","Clinton",103
"4/26/94","Baer, Harold Jr.","USDC: Southern District of New York","WQ","Clinton",103
"4/26/94","Cote, Denise L.","USDC: Southern District of New York","Qsm/WQmin","Clinton",103
"4/26/94","Koeltl, John G.","USDC: Southern District of New York","WQ","Clinton",103
"4/26/94","O'Meara, John C.","USDC: Eastern District of Michigan","WQsm/Qmin","Clinton",103
"4/26/94","Parker, Barrington D. Jr.","USDC: Southern District of New York","WQ","Clinton",103
"4/26/94","Pooler, Rosemary S.","USDC: Northern District of New York","Qsm/WQmin","Clinton",103
"4/26/94","Timlin, Robert J.","USDC: Central District of California","WQ","Clinton",103
"5/5/94","Sarokin, H. Lee  (NJ)","Third Circuit","WQ","Clinton",103
"5/5/94","Downes, William F.","USDC: District of Wyoming","WQsm/Qmin","Clinton",103
"5/5/94","Kaplan, Lewis A.","USDC: Southern District of New York","WQsm/Qmin","Clinton",103
"5/5/94","Manning, Blanche M.","USDC: Northern District of Illinois","Q","Clinton",103
"5/17/94","Breyer, Stephen G.","Supreme Court","WQ","Clinton",103
"5/24/94","Cabranes, Jose A.  (CT)","Second Circuit","WQ","Clinton",103
"","","","","Clinton",103
"DATE","NAME OF","COURT TO WHICH","","Clinton",103
"NOMINATED","NOMINEE","NOMINATED","","Clinton",103
"6/8/94","Dennis, James L.  (LA)","Fifth Circuit","Q","Clinton",103
"6/8/94","Hamilton, David F.","USDC: Southern District of Indiana","NQm/Qmin/WQmin","Clinton",103
"6/8/94","Jones, Napoleon A. Jr.","USDC: Southern District of California","Q","Clinton",103
"6/8/94","Vance, Sarah S.","USDC: Eastern District of Louisiana","WQsm/Qmin","Clinton",103
"6/20/94","Tatel, David S.  (DC)","DC Circuit","WQ","Clinton",103
"6/21/94","Bennett, Mark W.","USDC: District of Iowa","WQ","Clinton",103
"6/21/94","Casellas, Salvador E.","USDC: District of Puerto Rico","Q","Clinton",103
"6/21/94","Dominguez, Daniel R.","USDC: District of Puerto Rico","Q","Clinton",103
"6/22/94","Bryson, William C.  (DC)","Federal Circuit","WQ","Clinton",103
"7/13/94","Hawkins, Michael D.  (AZ)","Ninth Circuit","WQ","Clinton",103
"7/13/94","Moore, William T. Jr.","USDC: Southern District of Georgia","Qsm/WQmin","Clinton",103
"7/15/94","Duval, Stanwood R. Jr.","USDC: Eastern District of Louisiana","Q","Clinton",103
"7/15/94","Perry, Catherine D.","USDC: Eastern District of Missouri","WQ","Clinton",103
"7/22/94","Block, Frederic","USDC: Eastern District of New York","WQsm/Qmin","Clinton",103
"7/22/94","Gleeson, John","USDC: Eastern District of New York","WQsm/Qmin","Clinton",103
"7/22/94","Ross, Allyne R.","USDC: Eastern District of New York","WQsm/Qmin","Clinton",103
"7/22/94","Murphy, Diana E.  (MN)","Eighth Circuit","WQ","Clinton",103
"7/22/94","Scheindlin, Shira A.","USDC: Southern District of New York","WQ","Clinton",103
"7/22/94","Squatrito, Dominic J.","USDC: District of Connecticut","WQsm/Qmin","Clinton",103
"8/5/94","Chatigny, Robert N.","USDC: District of Connecticut","WQ","Clinton",103
"8/5/94","McConnell, Judith D.","USDC: Southern District of California","Qsm/NQmin","Clinton",103
"8/12/94","Cindrich, Robert J.","USDC: Western District of Pennsylvania","WQ","Clinton",103
"8/12/94","Katz, David A.","USDC: Northern District of Ohio","NQsm/Qmin","Clinton",103
"8/12/94","McLaughlin, Sean J.","USDC: Western District of Pennsylvania","Q","Clinton",103
"8/16/94","Bucklo, Elaine P.","USDC: Northern District of Illinois","WQ","Clinton",103
"8/16/94","Coar, David H.","USDC: Northern District of Illinois","WQsm/Qmin","Clinton",103
"8/16/94","Gettleman, Robert W.","USDC: Northern District of Illinois","WQ","Clinton",103
"","","","","Clinton",103
"DATE","NAME OF","COURT TO WHICH","ABA","Clinton",103
"NOMINATED","NOMINEE","NOMINATED","RATING","Clinton",103
"8/16/94","Riley, Paul E.","USDC: Southern District of Illinois","WQsm/Qmin","Clinton",103
"8/25/94","Beaty, James A.","USDC: Middle District of North Carolina","WQ","Clinton",103
"8/25/94","Briones, David","USDC: Western District of Texas","Q","Clinton",103
"8/25/94","Gillmor, Helen W.","USDC: District of Hawaii","Qsm/NQmin","Clinton",103
"8/25/94","Jones, Okla II","USDC: Eastern District of Louisiana","Q","Clinton",103
"8/25/94","Parker, Fred I.  (VT)","Second Circuit","WQ","Clinton",103
"8/25/94","Porteous, G. Thomas Jr.","USDC: Eastern District of Louisiana","Q","Clinton",103
"8/25/94","Tait, John Reid","USDC: District of Idaho","Qsm/WQmin","Clinton",103
"9/14/94","Moore, Karen Nelson  (OH)","Sixth Circuit","Qsm/WQmin","Clinton",103
"9/14/94","Chesney, Maxine Mackler","USDC: Northern District of California","WQ","Clinton",103
"9/14/94","Moore-Silver, Roslyn O.","USDC: District of Arizona","WQ","Clinton",103
"9/14/94","Robertson, James","USDC: District of the District of Columbia","WQ","Clinton",103
"9/14/94","Russell, Thomas Banister","USDC: Western District of Kentucky","WQ","Clinton",103
"9/14/94","Stein, Sidney H.","USDC: Southern District of New York","WQ","Clinton",103
"9/14/94","Thompson, Alvin W.","USDC: District of Connecticut","Qsm/WQmin","Clinton",103
"9/14/94","Walls, William H.","USDC: District of New Jersey","Q","Clinton",103
"9/19/94","Lynch, Sandra Lea  (MA)","First Circuit","WQ","Clinton",103
"9/20/94","O'Malley, Kathleen M.","USDC: Northern District of Ohio","WQsm/Qmin","Clinton",103
"9/22/94","Holmes, Sven E.","USDC: Northern District of Oklahoma","Q","Clinton",103
"9/22/94","Miles-LaGrange, Vicki","USDC: Western District of Oklahoma","Qsm/WQmin","Clinton",103
"9/22/94","Snodgrass, John D.","USDC: Northern District of Alabama","Q","Clinton",103
"9/23/94","Toole, Patrick J. Jr.","USDC: Middle District of Pennsylvania","Qsm/NQmin","Clinton",103
"10/5/94","Folsom, David","USDC: Eastern District of Texas","WQsm/Qmin","Clinton",103
"10/5/94","Heartfield, Thad","USDC: Eastern District of Texas","WQsm/Qmin","Clinton",103
"10/5/94","Thornburg, Lacy Herman","USDC: Western District of North Carolina","WQsm/Qmin","Clinton",103
"","","","","Clinton",104
"DATE","NAME OF","COURT TO WHICH","ABA","Clinton",104
"NOMINATED","NOMINEE","NOMINATED","RATING","Clinton",104
"1/11/95","Thornburg, Lacy Herman","USDC: Western District of North Carolina","WQsm/Qmin","Clinton",104
"1/11/95","Snodgrass, John D.","USDC: Northern District of Alabama","Q","Clinton",104
"1/11/95","Stein, Sidney H.","USDC: Southern District of New York","WQ","Clinton",104
"1/11/95","Heartfield, Thad","USDC: Eastern District of Texas","WQsm/Qmin","Clinton",104
"1/11/95","Folsom, David","USDC: Eastern District of Texas","WQsm/Qmin","Clinton",104
"1/11/95","Lynch, Sandra Lea (MA)","First Circuit","WQ","Clinton",104
"1/23/95","Arterton, Janet B.","USDC: District of Connecticut","WQsm/Qmin","Clinton",104
"1/23/95","Hunt, Willis B. Jr.","USDC: Northern District of Georgia","WQ","Clinton",104
"1/23/95","Illston, Susan Y.","USDC: Northern District of California","WQ","Clinton",104
"1/23/95","Kornmann, Charles B.","USDC: District of South Dakota","Qsm/WQmin","Clinton",104
"1/24/95","Chesney, Maxine Mackler","USDC: Northern District of California","WQ","Clinton",104
"1/24/95","Moore, Karen Nelson (OH)","Sixth Circuit","Qsm/WQmin","Clinton",104
"1/31/95","Dennis, James L. (LA)","Fifth Circuit","Q","Clinton",104
"2/3/95","Fallon, Eldon E.","USDC: Eastern District of Louisiana","WQ","Clinton",104
"2/13/95","Collier, Curtis L.","USDC: Eastern District of Tennessee","WQsm/Qmin","Clinton",104
"2/28/95","Economus, Peter C.","USDC: Northern District of Ohio","WQsm/Qmin","Clinton",104
"2/28/95","Goodwin, Joseph R.","USDC: Southern District of West Virginia","WQ","Clinton",104
"","","","","Clinton",104
"DATE","NAME OF","COURT TO WHICH","ABA","Clinton",104
"NOMINATED","NOMINEE","NOMINATED","RATING","Clinton",104
"3/15/95","Briscoe, Mary Beck (KS)","Tenth Circuit","WQ","Clinton",104
"3/23/95","Lucero, Carlos (CO)","Tenth Circuit","WQ","Clinton",104
"3/23/95","Whitfield, Wenona Y.","USDC: Southern District of Illinois","Qsm/NQmin","Clinton",104
"3/31/95","Daniel, Wiley Young","USDC: District of Colorado","Qsm/WQmin","Clinton",104
"3/31/95","Wood, Diane P. (IL)","Seventh Circuit","WQ","Clinton",104
"4/4/95","Atlas, Nancy F.","USDC: Southern District of Texas","Q","Clinton",104
"4/4/95","Murtha, John G.","USDC: District of Vermont","Q","Clinton",104
"4/4/95","O'Toole, George A. Jr.","USDC: District of Massachusetts","WQsm/Qmin","Clinton",104
"4/4/95","Shurin, Leland M.","USDC: Western District of Missouri","Q","Clinton",104
"4/6/95","Tashima, A. Wallace (CA)","Ninth Circuit","WQ","Clinton",104
"4/25/95","Evans, Terence T. (WI)","Seventh Circuit","WQsm/Qmin","Clinton",104
"4/25/95","Fletcher, William A. (CA)","Ninth Circuit","WQ","Clinton",104
"4/27/95","King, George H.","USDC: Central District of California","WQ","Clinton",104
"4/27/95","Nugent, Donald C.","USDC: Northern District of Ohio","WQ","Clinton",104
"5/4/95","Davis, Andre M.","USDC: District of Maryland","WQ","Clinton",104
"5/4/95","Blake, Catherine C.","USDC: District of Maryland","WQ","Clinton",104
"5/24/95","McKinley, Joseph H.","USDC: Western District of Kentucky","Q","Clinton",104
"5/24/95","Whaley, Robert H.","USDC: Eastern District of Washington","WQ","Clinton",104
"5/24/95","Winmill, Barry","USDC: District of Idaho","WQ","Clinton",104
"6/23/95","Campbell, Marilyn “Tena”","USDC: District of Utah","WQsm/Qmin","Clinton",104
"6/27/95","Campbell, Todd J.","USDC: Middle District of Tennessee","Qsm/WQmin","Clinton",104
"6/27/95","Moody, James M.","USDC: Eastern District of Arkansas","WQ","Clinton",104
"6/27/95","Wallach, Evan J. (NV)","Court of International Trade","Qsm/NQmin","Clinton",104
"6/29/95","Cole, Ransey G. Jr. (OH)","Sixth Circuit","WQ","Clinton",104
"6/30/95","Sessions, William K. III","USDC: District of Vermont","WQ","Clinton",104
"6/30/95","Smith, Ortrie D.","USDC: Western District of Missouri","Q","Clinton",104
"6/30/95","Pogue, Donald C.","Court of International Trade","WQsm/Qmin","Clinton",104
"","","","","Clinton",104
"DATE","NAME OF","COURT TO WHICH","ABA","Clinton",104
"NOMINATED","NOMINEE","NOMINATED","RATING","Clinton",104
"6/30/95","Moskowitz, Barry T.","USDC: Southern District of California","WQ","Clinton",104
"6/30/95","Orlofsky, Stephen M.","USDC: District of New Jersey","WQ","Clinton",104
"7/10/95","Tunheim, John R.","USDC: District of Minnesota","WQ","Clinton",104
"7/19/95","Thomas, Sidney R. (MT)","Ninth Circuit","WQ","Clinton",104
"7/21/95","Bingler, John H. Jr.","USDC: Western District of Pennsylvania","WQ","Clinton",104
"7/25/95","Murphy, Michael R. (UT)","Tenth Circuit","WQ","Clinton",104
"8/1/95","Greer, Bruce W.","USDC: Southern District of Florida","NQsm/Qmin","Clinton",104
"8/10/95","Black, Bruce","USDC: District of New Mexico","Qsm/NQmin","Clinton",104
"8/10/95","Dlott, Susan J.","USDC: Southern District of Ohio","WQm/Qmin","Clinton",104
"8/10/95","Lawson, Roger H. Jr.","USDC: Middle District of Georgia","WQsm/Qmin","Clinton",104
"8/10/95","Tagle, Hilda","USDC: Southern District of Texas","Q","Clinton",104
"8/10/95","Wardlaw, Kim McLane","USDC: Central District of California","Qm/WQmin","Clinton",104
"8/10/95","Webber, Ernest Richard Jr.","USDC: Eastern District of Missouri","WQ","Clinton",104
"9/5/95","Garland, Merrick Brian (MD)","DC Circuit","WQ","Clinton",104
"9/29/95","Gaughan, Patricia A.","USDC: Northern District of Ohio","WQ","Clinton",104
"9/29/95","Lenard, Joan A.","USDC: Southern District of Florida","Q","Clinton",104
"9/29/95","Sundram, Clarence J.","USDC: Northern District of New York","Qsm/NQmin","Clinton",104
"10/11/95","Duffy, Patrick Michael","USDC: District of South Carolina","WQ","Clinton",104
"10/11/95","Myerscough, Sue Ellen","USDC: Central District of Illinois","WQsm/Qmin","Clinton",104
"10/11/95","Rakoff, Jed Saul","USDC: Southern District of New York","WQ","Clinton",104
"10/11/95","Gershon, Nina","USDC: Eastern District of New York","Q","Clinton",104
"10/11/95","Jones, Barbara Sue","USDC: Southern District of New York","WQ","Clinton",104
"10/11/95","Marten, John Thomas","USDC: District of Kansas","WQ","Clinton",104
"10/20/95","Laughrey, Nanette K.","USDC: Western District of Missouri","Qsm/NQmin","Clinton",104
"10/27/95","Stack, Charles R. (FL)","Eleventh Circuit","Q","Clinton",104
"11/27/95","Aiken, Ann L.","USDC: District of Oregon","Q","Clinton",104
"11/27/95","Greenaway, Joseph A. Jr.","USDC: District of New Jersey","Qsm/NQmin","Clinton",104
"","","","","Clinton",104
"DATE","NAME OF","COURT TO WHICH","ABA","Clinton",104
"NOMINATED","NOMINEE","NOMINATED","RATING","Clinton",104
"11/27/95","Hochberg, Faith S.","USDC: District of New Jersey","WQ","Clinton",104
"11/27/95","Montgomery, Ann D.","USDC: District of Minnesota","WQ","Clinton",104
"12/7/95","Clevert, Charles Nelson Jr.","USDC: Eastern District of Wisconsin","WQ","Clinton",104
"12/7/95","Donald, Bernice B.","USDC: Western District of Tennessee","Qm/WQmin","Clinton",104
"12/8/95","Smith, C. Lynwood","USDC: Northern District of Alabama","WQ","Clinton",104
"12/12/95","Jones, James Parker","USDC: Western District of Virginia","WQ","Clinton",104
"12/12/95","Wattley, Cheryl Elizabeth Brown","USDC: Northern District of Texas","Q","Clinton",104
"12/13/95","Fenner, Gary August","USDC: Western District of Missouri","WQ","Clinton",104
"12/19/95","Lemmon, Mary Ann Vial","USDC: Eastern District of Louisiana","Q","Clinton",104
"12/19/95","Schattman, Michael D.","USDC: Northern District of Texas","Q","Clinton",104
"12/21/95","Molloy, Donald W.","USDC: District of Montana","WQ","Clinton",104
"12/21/95","Mollway, Susan Oki","USDC: District of Hawaii","WQsm/Qmin","Clinton",104
"12/22/95","Beaty, James A. Jr. (NC)","Fourth Circuit","WQ","Clinton",104
"12/22/95","Leonard, J. Rich (NC)","Fourth Circuit","WQ","Clinton",104
"12/22/95","Sargus, Edmund Albert Jr.","USDC: Southern District of Ohio","WQ","Clinton",104
"","","","","Clinton",104
"DATE","NAME OF","COURT TO WHICH","ABA","Clinton",104
"NOMINATED","NOMINEE","NOMINATED","RATING","Clinton",104
"1/25/96","Paez, Richard Anthony (CA)","Ninth Circuit","WQsm/Qmin","Clinton",104
"1/26/96","Pregerson, Dean D.","USDC: Central District of California","Q","Clinton",104
"1/26/96","Broadwater, Willard Craig","USDC: Northern District of West Virginia","WQsm/Qmin","Clinton",104
"1/26/96","Rodriguez-Rodriguez, Anabelle","USDC: District of Puerto Rico","Q","Clinton",104
"3/6/96","Clay, Eric L. (MI)","Sixth Circuit","WQ","Clinton",104
"3/6/96","Bataillon, Joseph F.","USDC: District of Nebraska","Q","Clinton",104
"3/29/96","Zapata, Frank Ramirez","USDC: District of Arizona","WQ","Clinton",104
"3/29/96","McKeown, M. Margaret (WA)","Ninth Circuit","WQ","Clinton",104
"","","","","Clinton",104
"DATE","NAME OF","COURT TO WHICH","ABA","Clinton",104
"NOMINATED","NOMINEE","NOMINATED","RATING","Clinton",104
"3/29/96","Kollar-Kotelly, Colleen","USDC: District of the District of Columbia","WQ","Clinton",104
"3/29/96","Gottschall, Joan B.","USDC: Northern District of Illinois","Q","Clinton",104
"4/18/96","Gajarsa, Arthur Joseph (MD)","Federal Circuit","Qsm/1abstention","Clinton",104
"4/18/96","Miller, Walker D.","USDC: District of Colorado","Q","Clinton",104
"4/18/96","Kahn, Lawrence E.","USDC: Northern District of New York","Qsm/NQmin","Clinton",104
"5/9/96","Lazzara, Richard A.","USDC: Middle District of Florida","WQ","Clinton",104
"5/9/96","Morrow, Margaret Mary","USDC: Central District of California","WQ","Clinton",104
"5/15/9","Snyder, Christina Ann","USDC: Central District of California","Q","Clinton",104
"5/15/96","Thrash, Thomas Woodrow Jr.","USDC: Northern District of Georgia","WQsm/Qmin","Clinton",104
"6/6/96","Hinkle, Robert Lewis","USDC: Northern District of Florida","WQsm/Qmin","Clinton",104
"7/19/96","Miller, Jeffrey T.","USDC: Southern District of California","Qsm/WQmin","Clinton",104
"8/6/96","Pratt, Robert","USDC: Southern District of Iowa","Q","Clinton",104
"9/5/96","Middlebrooks, Donald M.","USDC: Southern District of Florida","WQ","Clinton",104
"","","","","Clinton",105
"DATE","NAME OF","COURT TO WHICH","ABA","Clinton",105
"NOMINATED","NOMINEE","NOMINATED","RATING","Clinton",105
"1/7/97","Clay, Eric Lee (MI)","Sixth Circuit","WQ","Clinton",105
"1/7/97","Garland, Merrick B. (MD)","DC Circuit","WQ","Clinton",105
"1/7/97","Fletcher, William A. (CA)","Ninth Circuit","WQ","Clinton",105
"1/7/97","Paez, Richard A. (CA)","Ninth Circuit","WQsm/Qmin","Clinton",105
"1/7/97","McKeown, Mary Margaret (WA)","Ninth Circuit","WQ","Clinton",105
"","","","","Clinton",105
"","","","Q","Clinton",105
"1/7/97","Gajarsa, Arthur Joseph (MD)","Federal Circuit","1 abstention","Clinton",105
"1/7/97","Beaty, James A. Jr. (NC)","Fourth Circuit","WQ","Clinton",105
"1/7/97","Aiken, Ann Louise","USDC: District of Oregon","Q","Clinton",105
"1/7/97","Bataillon, Joseph F.","USDC: District of Nebraska","Q","Clinton",105
"1/7/97","Kollar-Kotelly, Colleen","USDC: District of the District of Columbia","WQ","Clinton",105
"1/7/97","Lazzara, Richard Allen","USDC: Middle District of Florida","WQ","Clinton",105
"1/7/97","Middlebrooks, Donald M.","USDC: Southern District of Florida","WQ","Clinton",105
"1/7/97","Miller, Jeffrey T.","USDC: Southern District of California","Qsm/WQmin","Clinton",105
"1/7/97","Mollway, Susan Oki","USDC: District of Hawaii","WQsm/Qmin","Clinton",105
"1/7/97","Morrow, Margaret M.","USDC: Central District of California","WQ","Clinton",105
"1/7/97","Pratt, Robert W.","USDC: Southern District of Iowa","Q","Clinton",105
"1/7/97","Snyder, Christina A.","USDC: Central District of California","Q","Clinton",105
"","","","","Clinton",105
"DATE","NAME OF","COURT TO WHICH","ABA","Clinton",105
"NOMINATED","NOMINEE","NOMINATED","RATING","Clinton",105
"1/7/97","Sundram, Clarence J.","USDC: Northern District of New York","Qsm/NQmin","Clinton",105
"1/7/97","Thrash, Thomas W.","USDC: Northern District of Georgia","WQsm/Qmin","Clinton",105
"1/7/97","Rendell, Marjorie O. (PA)","Third Circuit","WQ","Clinton",105
"1/7/97","White, Helene N. (MI)","Sixth Circuit","Qsm/NQmin","Clinton",105
"2/12/97","Gold, Alan S.","USDC: Southern District of Florida","WQ","Clinton",105
"2/12/97","Ishii, Anthony Wayne","USDC: Eastern District of California","WQsm/Qmin","Clinton",105
"2/12/97","Lasry, Lynne R.","USDC: Southern District of California","WQsm/Qmin","Clinton",105
"2/12/97","Lemelle, Ivan L.R.","USDC: Eastern District of Louisiana","Q","Clinton",105
"3/21/97","Rodriguez-Rodriguez, Anabelle","USDC: District of Puerto Rico","Q","Clinton",105
"3/21/97","Schattman, Michael D.","USDC: Northern District of Texas","Q","Clinton",105
"3/21/97","Tagle, Hilda G.","USDC: Southern District of Texas","Q","Clinton",105
"5/15/97","Kennedy, Henry H. Jr.","USDC: District of the District of Columbia","WQ","Clinton",105
"5/15/97","Sippel, Rodney W.","USDC: Eastern & Western Districts of Missouri","Q","Clinton",105
"6/5/97","Chambers, Robert C.","USDC: Southern District of West Virginia","Qm/WQmin","Clinton",105
"6/5/97","Droney, Christopher F.","USDC: District of Connecticut","Q","Clinton",105
"6/5/97","Hall, Janet C.","USDC: District of Connecticut","WQ","Clinton",105
"6/5/97","Hayden, Katharine Sweeney","USDC: District of New Jersey","WQ","Clinton",105
"6/18/97","Hull, Frank Mays (GA)","Eleventh Circuit","WQ","Clinton",105
"6/25/97","Sotomayor, Sonia (NY)","Second Circuit","WQsm/Qmin","Clinton",105
"6/25/97","Friedman, Jerome B.","USDC: Eastern District of Virginia","WQ","Clinton",105
"6/25/97","White, Ronnie L.","USDC: Eastern District of Missouri","Q","Clinton",105
"6/25/97","Ware, James (CA)","Ninth Circuit","WQ","Clinton",105
"7/15/97","Siragusa, Charles J.","USDC: Western District of New York","WQ","Clinton",105
"7/15/97","Young, Richard L.","USDC: Southern District of Indiana","WQsm/Qmin","Clinton",105
"7/16/97","Casey, Richard C.","USDC: Southern District of New York","Qsm/NQmin","Clinton",105
"7/16/97","Gilman, Ronald Lee (TN)","Sixth Circuit","WQ","Clinton",105
"7/24/97","Breyer, Charles R.","USDC: Northern District of California","WQ","Clinton",105
"","","","","Clinton",105
"DATE","NAME OF","COURT TO WHICH","ABA","Clinton",105
"NOMINATED","NOMINEE","NOMINATED","RATING","Clinton",105
"7/24/97","Damrell, Frank C. Jr.","USDC: Eastern District of California","WQsm/Qmin","Clinton",105
"7/24/97","Jenkins, Martin J.","USDC: Northern District of California","WQ","Clinton",105
"7/24/97","Rangel, Jorge C. (TX)","Fifth Circuit","WQm/Qmin","Clinton",105
"7/30/97","Graber, Susan Pia (OR)","Ninth Circuit","WQ","Clinton",105
"7/31/97","Caputo, A. Richard","USDC: Middle District of Pennsylvania","Qsm/WQmin","Clinton",105
